,ISIN number,Bloomberg Ticker,Activ Ticker,Last Price,Current % Mkt Cap,Projected % Mkt Cap,Current PFF Shares,Projected PFF Shares,Difference
470,US9388243076,WAFDP Pfd,WAFDP,19.73,0.1274,0.12989,902490.0,920129.0,17639.0
471,US9576384062,WAL A Pfd,WALpA,21.3,0.13726,0.13994,900668.0,918253.0,17585.0
472,US9478905055,WBS F Pfd,WBSpF,22.26,0.07172,0.07312,450314.0,459104.0,8790.0
473,US9478907036,WBS G Pfd,WBSpG,25.1498,0.07293,0.07436,405296.0,413242.0,7946.0
474,US95082P3038,WCC A Pfd,WCCpA,27.38,0.31777,0.32398,1622107.0,1653807.0,31700.0
475,US95002Y4008,WFC D Pfd,WFCpD,19.02,0.35751,0.36045,2627107.0,2648711.0,21604.0
476,US95002Y2028,WFC C Pfd,WFCpC,19.25,0.30394,0.30644,2206771.0,2224922.0,18151.0
477,US94988U1280,WFC A Pfd,WFCpA,20.75,0.36507,0.36807,2458998.0,2479205.0,20207.0
478,US94988U1512,WFC Z Pfd,WFCpZ,20.6,0.62341,0.62854,4229672.0,4264477.0,34805.0
479,US94988U6560,WFC Y Pfd,WFCpY,24.23,0.2514,0.25347,1450147.0,1462087.0,11940.0
480,US9497465560,WFC Q Pfd,WFCpQ,24.86,0.64485,0.65016,3625415.0,3655268.0,29853.0
481,US9497464654,WFC R Pfd,WFCpR,25.495,0.32204,0.32468,1765448.0,1779921.0,14473.0
482,US9497468044,WFC L Pfd,WFCpL,1235,1.84304,1.85819,208578.0,210292.0,1714.0
483,US0844238701,WRB H Pfd,WRBpH,18.7473,0.12081,0.12317,900667.0,918261.0,17594.0
484,US0844238883,WRB G Pfd,WRBpG,19.42,0.10429,0.10633,750574.0,765256.0,14682.0
485,US0844238057,WRB F Pfd,WRBpF,22.48,0.14486,0.14769,900642.0,918237.0,17595.0
486,US0844237067,WRB E Pfd,WRBpE,24.31,0.0966,0.09849,555383.0,566249.0,10866.0
487,US9508107052,WSBCP Pfd,WSBCP,25.5,0.08219,0.0838,450484.0,459308.0,8824.0
488,US97650W4050,WTFCM Pfd,WTFCM,25.6,0.06943,0.07079,379059.0,386484.0,7425.0
489,US97650W5040,WTFCP Pfd,WTFCP,25.905,0.16007,0.1632,863628.0,880515.0,16887.0
490,US30162V6074,,,,0.00316,0.00323,,,
491,US9897018597,ZIONO Pfd,ZIONO,25.4377,0.07562,0.0771,415488.0,423620.0,8132.0
492,US28852N4060,,,,0.0,0.05383,,,
